" ","score","status","future"
"Index",82.81,,86.71
"Food Provision",10.28,9.31,11.26
". Fisheries",10.05,9.08,11.01
". Mariculture",37.46,36.05,38.86
"Artisanal Fishing Opportunity",89.31,80.05,98.57
"Natural Products",94.52,89.04,100
"Carbon Storage",,100,
"Coastal Protection",87.21,78.67,95.76
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",99.41,98.82,100
". Livelihoods",98.82,97.64,100
". Economies",100,100,100
"Sense of Place",89.24,86.67,91.81
". Iconic Species",78.47,73.33,83.61
". Lasting Special Places",100,100,100
"Clean Waters",82.05,78.52,85.58
"Biodiversity",93.23,89,97.46
". Habitats",96.98,93.96,100
". Species",89.47,84.03,94.91
