" ","score","status","future","trend","pressures","resilience"
"Index",82.19,,85.47,,,
"Food Provision",0.06,0.05,0.06,0,,
". Fisheries",0,0,0,0,19.29,84.01
". Mariculture",6.73,6.16,7.29,-0.03,19.34,81.2
"Artisanal Fishing Opportunity",89.31,80.05,98.57,0,14.5,84.88
"Natural Products",99.24,98.48,100,0,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.36,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.23,86.67,91.8,-0.06,,
". Iconic Species",78.47,73.33,83.6,-0.12,17.76,85.57
". Lasting Special Places",100,100,100,0,23.44,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.22,89,97.45,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.37,84.73
". Species",89.47,84.03,94.91,-0.11,23.02,85.43
