" ","score","status","future","trend","pressures","resilience"
"Index",82.54,,86.29,,,
"Food Provision",6.83,6.19,7.48,0,,
". Fisheries",6.64,6,7.28,0,19.31,84.01
". Mariculture",29.09,27.48,30.7,-0.13,19.34,81.2
"Artisanal Fishing Opportunity",89.31,80.05,98.56,0,14.53,84.88
"Natural Products",95.59,91.18,100,-0.01,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.36,53.55
". Economies",100,100,100,1,14.25,79.67
"Sense of Place",89.23,86.67,91.79,-0.06,,
". Iconic Species",78.46,73.33,83.58,-0.12,17.83,85.57
". Lasting Special Places",100,100,100,0,23.53,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.22,89,97.45,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.38,84.73
". Species",89.46,84.03,94.89,-0.11,23.06,85.43
