" ","score","status","future","trend","pressures","resilience"
"Index",82.61,,86.23,,,
"Food Provision",6.35,5.82,6.88,0,,
". Fisheries",5.53,5,6.07,0,19.25,84.01
". Mariculture",100,100,100,0,19.34,81.2
"Artisanal Fishing Opportunity",89.32,80.05,98.58,0,14.44,84.88
"Natural Products",96.67,93.34,100,0,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.35,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.24,86.67,91.82,-0.06,,
". Iconic Species",78.48,73.33,83.63,-0.12,17.63,85.57
". Lasting Special Places",100,100,100,0,23.27,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.23,89,97.46,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.34,84.73
". Species",89.48,84.03,94.93,-0.11,22.94,85.43
