" ","score","status","future","trend","pressures","resilience"
"Index",82.26,,85.76,,,
"Food Provision",2.49,2.26,2.71,0,,
". Fisheries",2.21,2,2.43,0,19.31,84.01
". Mariculture",33.61,31.85,35.36,-0.14,19.34,81.2
"Artisanal Fishing Opportunity",89.31,80.05,98.56,0,14.52,84.88
"Natural Products",97.46,94.92,100,-0.01,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.36,53.55
". Economies",100,100,100,1,14.24,79.67
"Sense of Place",89.23,86.67,91.79,-0.06,,
". Iconic Species",78.46,73.33,83.59,-0.12,17.81,85.57
". Lasting Special Places",100,100,100,0,23.5,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.22,89,97.45,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.38,84.73
". Species",89.47,84.03,94.9,-0.11,23.05,85.43
