" ","score","status","future","trend","pressures","resilience"
"Index",82.17,,85.45,,,
"Food Provision",0.02,0.02,0.02,0,,
". Fisheries",0,0,0,0,19.44,84.01
". Mariculture",2.6,2.37,2.84,-0.01,19.34,81.2
"Artisanal Fishing Opportunity",89.28,80.05,98.52,0,14.7,84.88
"Natural Products",99.15,98.31,100,0,12.78,86.43
"Carbon Storage",,100,,,,88.12
"Coastal Protection",87.21,78.67,95.76,0.02,26.24,88.12
"Tourism & Recreation",100,100,100,0.01,39.18,92.67
"Coastal Livelihoods & Economies",99.41,98.82,100,0.45,,
". Livelihoods",98.82,97.64,100,-0.11,15.37,53.55
". Economies",100,100,100,1,14.26,79.67
"Sense of Place",89.2,86.67,91.74,-0.06,,
". Iconic Species",78.41,73.33,83.49,-0.12,18.24,85.57
". Lasting Special Places",100,100,100,0,24.03,85.85
"Clean Waters",82.05,78.52,85.58,-0.06,54.18,92.67
"Biodiversity",93.2,89,97.41,-0.04,,
". Habitats",96.98,93.96,100,0.03,15.46,84.73
". Species",89.43,84.03,94.83,-0.11,23.31,85.43
